,uplink,uplink,downlink,downlink
,max,min,max,min
name,,,,
HNI-MP-05-02,74137.1,57698.34000000001,95748.79,74085.96
HNI-MP-06-01,33762.17,0.0,35198.5,21215.08
HNI-MP-06-02,34493.64,0.0,35801.520000000004,24898.030000000002
HNI-MP-08-01,9540.48,0.0,20105.079999999998,0.0
HNI-MP-08-02,1168.6799999999998,0.0,21430.37,0.0
HNI-MP-10-01,0.0,0.0,0.0,0.0
HNI-MP-10-02,0.0,0.0,0.0,0.0
HNI-MP-Backup-01,36497.75,0.0,0.0,0.0
HNI-MP-Backup-02,1843.73,84.99000000000001,0.0,0.0
HNM-MP-01-01,6051.97,0.0,5787.11,4315.18
HNM-MP-01-02,6066.299999999999,0.0,5732.62,4212.4400000000005
HPG-MP-01-01,66175.54000000001,38396.03,76525.49,57036.47
HPG-MP-01-02,73735.93000000001,61831.13,82324.81999999999,60145.63000000001
HPG-MP-02-01,9641.46,0.0,10328.380000000001,7452.539999999999
HPG-MP-02-02,9839.42,0.0,9986.7,6350.16
HTH-MP-01-01,5518.26,0.0,5400.2,3488.11
HTH-MP-01-02,5119.13,0.0,4859.77,2698.36
HTH-MP-02-01,1784.21,0.0,1730.8000000000002,1238.48
HTH-MP-02-02,2205.3199999999997,0.0,2151.04,1482.73
HUE-MP-01-01,31639.019999999997,16161.5,21148.969999999998,11469.660000000002
HUE-MP-01-02,33321.98,7238.120000000001,24190.61,13776.029999999999
HYN-MP-01-01,11005.439999999999,0.0,11513.42,6521.179999999999
HYN-MP-01-02,10664.27,0.0,11204.82,6903.070000000001
HYN-MP-01-03,14234.469999999998,0.0,14781.21,11233.879999999997
HYN-MP-01-04,14308.82,0.0,14920.09,11427.83
HYN-MP-02-01,5311.55,0.0,5518.78,4033.33
HYN-MP-02-02,6299.34,0.0,6448.42,4752.02
KGG-MP-01-01,8030.2,0.0,10098.439999999999,1597.4099999999999
KGG-MP-01-02,5898.04,0.0,532.13,197.13
KGG-MP-01-03,14491.369999999999,9344.96,10914.86,6659.92
KGG-MP-01-04,11465.82,6076.08,6682.29,3200.09
KHA-MP-02-01,6061.04,0.0,0.0,0.0
KHA-MP-02-02,5889.21,0.0,0.0,0.0
KHA-MP-03-01,5407.97,0.0,4865.23,2060.23
KHA-MP-03-02,3164.75,0.0,4217.4800000000005,1599.8200000000002
KTM-MP-01-01,4787.42,3453.09,4734.9,3404.7
KTM-MP-01-02,5020.58,4213.24,5123.25,4331.79
LAN-MP-01-01,9159.36,4757.83,0.0,0.0
LAN-MP-01-02,9436.98,4827.889999999999,0.0,0.0
LCI-MP-01-01,9132.96,0.0,9104.04,7044.65
LCI-MP-01-02,9393.46,0.0,9829.029999999999,7812.01
LDG-MP-01-01,12648.849999999999,6406.75,12983.5,6088.719999999999
LDG-MP-01-02,9418.130000000001,7441.459999999999,9427.7,7284.4400000000005
LDG-MP-01-03,11186.48,7132.99,11546.92,7131.33
LDG-MP-01-04,11241.05,6906.610000000001,11473.93,7088.3
LGI-MP-01-01,4619.299999999999,0.0,4514.969999999999,3400.09
LGI-MP-01-02,6046.200000000001,0.0,5592.82,4589.59
LSN-MP-01-01,11812.74,391.89,8147.29,5088.32
LSN-MP-01-02,21552.129999999997,10638.65,8909.9,6815.05
LSN-MP-01-03,0.12,0.0,0.03,0.0
LSN-MP-01-04,0.19,0.02,0.0,0.0
NAN-MP-01-01,14927.3,11697.589999999998,17707.14,12159.4
NAN-MP-01-02,22953.539999999997,17674.45,27608.600000000002,19642.22
NBH-MP-01-01,7532.03,5753.96,7663.55,5984.129999999999
NBH-MP-01-02,9467.369999999999,7004.3099999999995,9135.16,7016.58
NDH-MP-01-01,7315.85,5079.110000000001,8289.2,6371.01
NDH-MP-01-02,9276.6,6773.34,10379.2,7658.59
NDH-MP-01-03,3907.33,2627.1,7990.57,5341.030000000001
